,ISBN,book_id,Publication Year,Author,Title,AvgRating,Image-URL,Image-URL-S
7799,0515125628,7800,2010,Bret Easton Ellis,Imperial Bedrooms ,3.14,https://images.gr-assets.com/books/1278878105m/7519866.jpg,https://images.gr-assets.com/books/1278878105s/7519866.jpg
7800,0553565249,7801,2013,"Krista Ritchie, Becca Ritchie","Addicted to You (Addicted, #1)",3.9,https://images.gr-assets.com/books/1400803526m/22296542.jpg,https://images.gr-assets.com/books/1400803526s/22296542.jpg
7801,055357695X,7802,2014,Gayle Forman,"Just One Night (Just One Day, #2.5)",4.12,https://images.gr-assets.com/books/1398780998m/22021611.jpg,https://images.gr-assets.com/books/1398780998s/22021611.jpg
7802,0671019619,7803,2009,Amazon,Kindle User's Guide,3.64,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7803,0446363731,7804,2011,"James Patterson, Jill Dembowski, Elijah Wood, Spencer Locke","The Fire (Witch & Wizard, #3)",3.87,https://images.gr-assets.com/books/1472948949m/10778410.jpg,https://images.gr-assets.com/books/1472948949s/10778410.jpg
7804,0671019651,7805,1995,John Marsden,"A Killing Frost (Tomorrow, #3)",4.19,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7805,0671523074,7806,1977,"Eleanor Coerr, Ronald Himler",Sadako and the Thousand Paper Cranes,4.09,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7806,0553572326,7807,2004,"Tsugumi Ohba, Takeshi Obata","Death Note, Vol. 4: Love (Death Note, #4)",4.38,https://images.gr-assets.com/books/1432686076m/13616.jpg,https://images.gr-assets.com/books/1432686076s/13616.jpg
7807,0061059838,7808,1951,Josephine Tey,"The Daughter of Time (Inspector Alan Grant, #5)",3.95,https://images.gr-assets.com/books/1394326949m/77661.jpg,https://images.gr-assets.com/books/1394326949s/77661.jpg
7808,0425172546,7809,2005,Daniel Silva,"Prince of Fire (Gabriel Allon, #5)",4.17,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7809,074347628X,7810,1995,"Milan Kundera, Linda Asher",Slowness,3.66,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7810,0553586181,7811,2015,Brian  McClellan,"The Autumn Republic (Powder Mage, #3)",4.35,https://images.gr-assets.com/books/1393261950m/20883847.jpg,https://images.gr-assets.com/books/1393261950s/20883847.jpg
7811,0061094609,7812,1977,Anaïs Nin,Delta of Venus,3.69,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7812,0486273776,7813,2010,"Robert Kirkman, Charlie Adlard, Cliff Rathburn","The Walking Dead, Vol. 11: Fear the Hunters",4.33,https://images.gr-assets.com/books/1266000285m/6488483.jpg,https://images.gr-assets.com/books/1266000285s/6488483.jpg
7813,0931432901,7814,2006,Vernor Vinge,Rainbows End,3.76,https://images.gr-assets.com/books/1316729149m/102439.jpg,https://images.gr-assets.com/books/1316729149s/102439.jpg
7814,0060256257,7815,2015,Kristen Callihan,"The Friend Zone (Game On, #2)",4.21,https://images.gr-assets.com/books/1430227184m/23122175.jpg,https://images.gr-assets.com/books/1430227184s/23122175.jpg
7815,0679427279,7816,2013,Michael J. Sullivan,"The Rose and the Thorn (The Riyria Chronicles, #2)",4.39,https://images.gr-assets.com/books/1362121827m/17163514.jpg,https://images.gr-assets.com/books/1362121827s/17163514.jpg
7816,055357809X,7817,2004,"Sergei Lukyanenko, Andrew Bromfield",Twilight Watch (Watch #3),4.11,https://images.gr-assets.com/books/1382426338m/104159.jpg,https://images.gr-assets.com/books/1382426338s/104159.jpg
7817,0380711524,7818,2009,Kelley Armstrong,"Frostbitten (Women of the Otherworld, #10)",4.29,https://images.gr-assets.com/books/1327437513m/4107256.jpg,https://images.gr-assets.com/books/1327437513s/4107256.jpg
7818,0553261509,7819,2015,J.R. Ward,"Blood Kiss (Black Dagger Legacy, #1)",4.35,https://images.gr-assets.com/books/1426697749m/24903031.jpg,https://images.gr-assets.com/books/1426697749s/24903031.jpg
7819,0446341991,7820,1982,Piers Anthony,"Night Mare (Xanth, #6)",3.81,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7820,0140113428,7821,2012,"Sandra Brown, Stephen Lang",Low Pressure,3.86,https://images.gr-assets.com/books/1396934108m/13507011.jpg,https://images.gr-assets.com/books/1396934108s/13507011.jpg
7821,0821713000,7822,1998,"Douglas Preston, Lincoln Child",Riptide,3.93,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7822,006101009X,7823,1969,غسان كنفاني,عائد إلى حيفا,4.32,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7823,0061092533,7824,2002,Raymond E. Feist,"Talon of the Silver Hawk (Conclave of Shadows, #1)",4.01,https://images.gr-assets.com/books/1409594805m/13811.jpg,https://images.gr-assets.com/books/1409594805s/13811.jpg
7824,0449211886,7825,2008,Steve Berry,"The Charlemagne Pursuit (Cotton Malone, #4)",3.88,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7825,0590466194,7826,1942,John Steinbeck,The Moon Is Down,3.87,https://images.gr-assets.com/books/1327961310m/12722.jpg,https://images.gr-assets.com/books/1327961310s/12722.jpg
7826,0811827631,7827,1986,Mark Mathabane,Kaffir Boy: An Autobiography,4.15,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7827,0140068767,7828,2012,Anne Tyler,The Beginner's Goodbye,3.58,https://images.gr-assets.com/books/1333577280m/12482658.jpg,https://images.gr-assets.com/books/1333577280s/12482658.jpg
7828,0553278398,7829,1860,"Thomas Malory, Eugène Vinaver",King Arthur and His Knights: Selected Tales,4.1,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7829,0345308980,7830,1996,Clive Cussler,"Shock Wave (Dirk Pitt, #13)",3.93,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7830,0743235150,7831,1963,"صلاح جاهين, يحيى حقي",رباعيات صلاح جاهين,4.43,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7831,848300268X,7832,1915,T.S. Eliot,The Love Song of J. Alfred Prufrock and Other Poems,4.32,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7832,8478883126,7833,1909,Gene Stratton-Porter,"A Girl of the Limberlost (Limberlost, #2)",4.14,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7833,8408037404,7834,2014,Kim Harrison,"The Witch With No Name (The Hollows, #13)",4.43,https://images.gr-assets.com/books/1398700782m/20426917.jpg,https://images.gr-assets.com/books/1398700782s/20426917.jpg
7834,2867448999,7835,2015,T.M. Frazier,"King (King, #1)",4.24,https://images.gr-assets.com/books/1434996511m/18739485.jpg,https://images.gr-assets.com/books/1434996511s/18739485.jpg
7835,0515104191,7836,1901,"Henry James, Amy Bloom, Pierre A. Walker",The Wings of the Dove,3.81,https://images.gr-assets.com/books/1320514843m/124272.jpg,https://images.gr-assets.com/books/1320514843s/124272.jpg
7836,0441885691,7837,2010,Nancy Reagin,Twilight and History,4.38,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7837,0451628039,7838,1893,Oscar Wilde,Lady Windermere's Fan,3.9,https://images.gr-assets.com/books/1336666367m/122649.jpg,https://images.gr-assets.com/books/1336666367s/122649.jpg
7838,0140177396,7839,2001,"Masaru Emoto, David A. Thayne",The Hidden Messages in Water,4.27,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7839,1570624380,7840,1975,S.E. Hinton,Rumble Fish,3.77,https://images.gr-assets.com/books/1320491172m/759960.jpg,https://images.gr-assets.com/books/1320491172s/759960.jpg
7840,0760700435,7841,1995,Ken Follett,A Place Called Freedom,3.87,https://images.gr-assets.com/books/1320559980m/825509.jpg,https://images.gr-assets.com/books/1320559980s/825509.jpg
7841,048627084X,7842,2004,"José Saramago, Margaret Jull Costa",Seeing,3.76,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7842,0802713823,7843,2013,Jason Mott,The Returned,3.29,https://images.gr-assets.com/books/1372089735m/17182421.jpg,https://images.gr-assets.com/books/1372089735s/17182421.jpg
7843,051718608X,7844,2007,Ramachandra Guha,India After Gandhi: The History of the World's Largest Democracy,4.34,https://images.gr-assets.com/books/1500471959m/356824.jpg,https://images.gr-assets.com/books/1500471959s/356824.jpg
7844,0486278166,7845,2014,Ryan Holiday,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,4.11,https://images.gr-assets.com/books/1391440316m/18668059.jpg,https://images.gr-assets.com/books/1391440316s/18668059.jpg
7845,0140373373,7846,2007,Erin Hunter,"The Sight (Warriors: Power of Three, #1)",4.27,https://images.gr-assets.com/books/1363489119m/197457.jpg,https://images.gr-assets.com/books/1363489119s/197457.jpg
7846,0486408787,7847,2014,Abbi Glines,"Bad for You (Sea Breeze, #7)",4.3,https://images.gr-assets.com/books/1390861093m/18870159.jpg,https://images.gr-assets.com/books/1390861093s/18870159.jpg
7847,0451186923,7848,2005,Kate Grenville,The Secret River,3.79,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7848,0451184114,7849,1990,"Ben Carson, Cecil Murphey",Gifted Hands: The Ben Carson Story,4.21,https://images.gr-assets.com/books/1331248043m/18422.jpg,https://images.gr-assets.com/books/1331248043s/18422.jpg
7849,0446356573,7850,1986,"Linda Williams, Megan Lloyd",The Little Old Lady Who Was Not Afraid of Anything,4.25,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7850,155166545X,7851,2009,Brad Thor,"The Apostle (Scot Harvath, #8)",4.11,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7851,0553280341,7852,1984,R.C. Sproul,The Holiness of God,4.35,https://images.gr-assets.com/books/1175783071m/556629.jpg,https://images.gr-assets.com/books/1175783071s/556629.jpg
7852,0553280368,7853,2000,Kevin Henkes,Wemberly Worried,4.22,https://images.gr-assets.com/books/1415584914m/858514.jpg,https://images.gr-assets.com/books/1415584914s/858514.jpg
7853,067942573X,7854,1996,Sherrilyn Kenyon,"Born of Night (The League, #1)",4.21,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7854,0812570944,7855,1933,Dorothy L. Sayers,"Murder Must Advertise  (Lord Peter Wimsey, #10)",4.21,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7855,078688939X,7856,2005,Carole Radziwill,"What Remains: A Memoir of Fate, Friendship, and Love",4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7856,0451176464,7857,2015,Patricia Briggs,Dead Heat (Alpha & Omega #4),4.27,https://images.gr-assets.com/books/1406232150m/22571699.jpg,https://images.gr-assets.com/books/1406232150s/22571699.jpg
7857,0671894455,7858,1986,"Nancy E. Shaw, Margot Apple",Sheep in a Jeep,4.11,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7858,0451186362,7859,1889,"Leo Tolstoy, Isai Kamen, Doris Lessing",The Kreutzer Sonata,3.9,https://images.gr-assets.com/books/1451489791m/141077.jpg,https://images.gr-assets.com/books/1451489791s/141077.jpg
7859,1570431108,7860,1989,Julia Child,The Way to Cook,4.31,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7860,0451405692,7861,1996,Phaidon Press,The 20th Century Art Book,3.94,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7861,0446607657,7862,1976,"Bruno Ernst, M.C. Escher, John E. Brigham",The Magic Mirror of M.C. Escher,4.15,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7862,0446611662,7863,2008,"Matsuri Hino, Tomo Kimura","Vampire Knight, Vol. 9",4.31,https://images.gr-assets.com/books/1329240058m/6801652.jpg,https://images.gr-assets.com/books/1329240058s/6801652.jpg
7863,0140067841,7864,1996,Steve Perry,Shadows of the Empire (Star Wars),3.81,https://images.gr-assets.com/books/1361481442m/9549.jpg,https://images.gr-assets.com/books/1361481442s/9549.jpg
7864,1878379992,7865,2012,"Robert Kirkman, Charlie Adlard","The Walking Dead, Compendium 2",4.53,https://images.gr-assets.com/books/1344152205m/14744381.jpg,https://images.gr-assets.com/books/1344152205s/14744381.jpg
7865,0892811706,7866,1993,"Al Ries, Jack Trout",The 22 Immutable Laws of Marketing: Violate Them at Your Own Risk,4.02,https://images.gr-assets.com/books/1417627150m/33449.jpg,https://images.gr-assets.com/books/1417627150s/33449.jpg
7866,0684150700,7867,2015,Jane Green,Summer Secrets,3.62,https://images.gr-assets.com/books/1426128094m/23245587.jpg,https://images.gr-assets.com/books/1426128094s/23245587.jpg
7867,0517463008,7868,1991,John Grisham,The Firm,3.89,https://images.gr-assets.com/books/1174886821m/452235.jpg,https://images.gr-assets.com/books/1174886821s/452235.jpg
7868,081120457X,7869,2000,Alain de Botton,The Consolations of Philosophy,3.99,https://images.gr-assets.com/books/1403191802m/23419.jpg,https://images.gr-assets.com/books/1403191802s/23419.jpg
7869,0395120985,7870,2013,J.B. Salsbury,"Fighting for Flight (Fighting, #1)",4.16,https://images.gr-assets.com/books/1357067788m/17167042.jpg,https://images.gr-assets.com/books/1357067788s/17167042.jpg
7870,0910395039,7871,2015,S.J. Watson,Second Life,3.24,https://images.gr-assets.com/books/1410793297m/17412188.jpg,https://images.gr-assets.com/books/1410793297s/17412188.jpg
7871,0312901437,7872,1994,Irvine Welsh,The Acid House,3.69,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7872,0553212923,7873,2014,Seth Godin,Permission Marketing: Turning Strangers Into Friends And Friends Into Customers,3.94,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7873,0345354613,7874,2001,Alice Munro,"Hateship, Friendship, Courtship, Loveship, Marriage: Stories",4.06,https://images.gr-assets.com/books/1494106094m/111126.jpg,https://images.gr-assets.com/books/1494106094s/111126.jpg
7874,0967231434,7875,2012,Hazel Gaynor,The Girl Who Came Home,3.83,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7875,0553104039,7876,2012,"Gary Keller, Jay Papasan",The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,4.17,https://images.gr-assets.com/books/1362177469m/16256798.jpg,https://images.gr-assets.com/books/1362177469s/16256798.jpg
7876,038532748X,7877,2014,Whitney G.,"Reasonable Doubt: Volume 2 (Reasonable Doubt, #2)",4.14,https://images.gr-assets.com/books/1397189810m/20980373.jpg,https://images.gr-assets.com/books/1397189810s/20980373.jpg
7877,0380713802,7878,1977,Simms Taback,Joseph Had a Little Overcoat,4.12,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7878,0140430725,7879,1995,"Jacqueline Wilson, Nick Sharratt, Sue Heap",Double Act,3.69,https://images.gr-assets.com/books/1353573624m/511527.jpg,https://images.gr-assets.com/books/1353573624s/511527.jpg
7879,0345356640,7880,2007,Meg Cabot,"Princess Mia (The Princess Diaries, #9)",3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7880,0812513401,7881,1993,Omar Tyree,"Flyy Girl (Flyy Girl, #1)",4.21,https://images.gr-assets.com/books/1415677404m/290039.jpg,https://images.gr-assets.com/books/1415677404s/290039.jpg
7881,0940685590,7882,2011,Deborah Rodriguez,The Little Coffee Shop of Kabul,3.57,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7882,0898159318,7883,2003,"Alisa Kwitney, Neil Gaiman",The Sandman: King of Dreams,4.61,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7883,0671319825,7884,2008,"Marc Guggenheim, Alex Maleev, Stephen King",Stephen King's N.,4.22,https://images.gr-assets.com/books/1492728218m/7006562.jpg,https://images.gr-assets.com/books/1492728218s/7006562.jpg
7884,0451456491,7885,2013,"Paul Pen, Simon Bruni",The Light of the Fireflies,3.76,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7885,0451450957,7886,1991,Mercedes Lackey,By the Sword (Valdemar),4.24,https://images.gr-assets.com/books/1424369518m/28735.jpg,https://images.gr-assets.com/books/1424369518s/28735.jpg
7886,0451454359,7887,1999,Stephen King,Storm of the Century: An Original Screenplay,3.86,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7887,067187747X,7888,2003,Kristen Britain,"First Rider's Call (Green Rider, #2)",4.2,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7888,0441569595,7889,2009,Jeffrey Archer,Paths of Glory,3.88,https://images.gr-assets.com/books/1312068627m/4102763.jpg,https://images.gr-assets.com/books/1312068627s/4102763.jpg
7889,0843948302,7890,1996,Jennifer Crusie,Anyone But You,3.8,https://images.gr-assets.com/books/1263487145m/33732.jpg,https://images.gr-assets.com/books/1263487145s/33732.jpg
7890,1573229105,7891,1993,Kevin Henkes,Owen,4.25,https://images.gr-assets.com/books/1415585883m/635083.jpg,https://images.gr-assets.com/books/1415585883s/635083.jpg
7891,0375505148,7892,2013,"Terry Pratchett, Stephen Baxter","The Long War (The Long Earth, #2)",3.58,https://images.gr-assets.com/books/1368422103m/17167572.jpg,https://images.gr-assets.com/books/1368422103s/17167572.jpg
7892,0345291409,7893,1988,Mercedes Lackey,"Arrow's Fall (Heralds of Valdemar, #3)",4.18,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7893,0425147363,7894,2005,"America's Test Kitchen, Carl Tremblay, Daniel J. Van Ackere",The America's Test Kitchen Family Cookbook,4.31,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7894,0671731424,7895,2001,Tamora Pierce,"Street Magic (The Circle Opens, #2)",4.12,https://images.gr-assets.com/books/1328861813m/24093.jpg,https://images.gr-assets.com/books/1328861813s/24093.jpg
7895,034068948X,7896,2016,Phaedra Patrick,The Curious Charms of Arthur Pepper,3.91,https://images.gr-assets.com/books/1456116507m/26722820.jpg,https://images.gr-assets.com/books/1456116507s/26722820.jpg
7896,0449238083,7897,2012,Jodi Meadows,"Incarnate (Newsoul, #1)",3.73,https://images.gr-assets.com/books/1358271343m/8573642.jpg,https://images.gr-assets.com/books/1358271343s/8573642.jpg
7897,0747204233,7898,2009,"William Kamkwamba, Bryan Mealer",The Boy Who Harnessed the Wind: Creating Currents of Electricity and Hope,4.07,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7898,0385333919,7899,1986,Paul O. Zelinsky,Rumpelstiltskin,4.23,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7899,0449001245,7900,2014,Katherine Addison,The Goblin Emperor,4.05,https://images.gr-assets.com/books/1373039517m/17910048.jpg,https://images.gr-assets.com/books/1373039517s/17910048.jpg
7900,0061099570,7901,2015,"Rob Thomas, Jennifer Graham","Mr. Kiss and Tell (Veronica Mars, #2)",4.01,https://images.gr-assets.com/books/1405566768m/21437200.jpg,https://images.gr-assets.com/books/1405566768s/21437200.jpg
7901,0936552034,7902,2012,"Adam Makos, Larry Alexander",A Higher Call: An Incredible True Story of Combat and Chivalry in the War-Torn Skies of World War II,4.32,https://images.gr-assets.com/books/1350889524m/15808816.jpg,https://images.gr-assets.com/books/1350889524s/15808816.jpg
7902,0375750002,7903,2014,Tillie Cole,"It Ain't Me, Babe (Hades Hangmen, #1)",4.22,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7903,0425165582,7904,1984,Robert A. Heinlein,Job: A Comedy of Justice,3.77,https://images.gr-assets.com/books/1438043968m/355.jpg,https://images.gr-assets.com/books/1438043968s/355.jpg
7904,0380820293,7905,2012,Carl Hiaasen,Chomp,3.93,https://images.gr-assets.com/books/1320532144m/12081467.jpg,https://images.gr-assets.com/books/1320532144s/12081467.jpg
7905,0451141296,7906,1999,"Neil Gaiman, Yoshitaka Amano",The Sandman: The Dream Hunters,4.38,https://images.gr-assets.com/books/1327940077m/166580.jpg,https://images.gr-assets.com/books/1327940077s/166580.jpg
7906,0312980205,7907,1978,John Cheever,The Stories of John Cheever,4.27,https://images.gr-assets.com/books/1339732173m/11686.jpg,https://images.gr-assets.com/books/1339732173s/11686.jpg
7907,0743467345,7908,2016,John Sandford,"Extreme Prey (Lucas Davenport, #26)",4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7908,8817106100,7909,1965,Neil Simon,The Odd Couple,4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7909,0679889175,7910,1998,"V.S. Ramachandran, Sandra Blakeslee, Oliver Sacks",Phantoms in the Brain: Probing the Mysteries of the Human Mind,4.25,https://images.gr-assets.com/books/1409601908m/31555.jpg,https://images.gr-assets.com/books/1409601908s/31555.jpg
7910,0679801111,7911,2004,J.D. Robb,"Divided in Death (In Death, #18)",4.32,https://images.gr-assets.com/books/1389938707m/129523.jpg,https://images.gr-assets.com/books/1389938707s/129523.jpg
7911,0871236575,7912,2015,Drew Barrymore,Wildflower,3.56,https://images.gr-assets.com/books/1446537126m/25065522.jpg,https://images.gr-assets.com/books/1446537126s/25065522.jpg
7912,1410729435,7913,1960,Mario Benedetti,La tregua,4.19,https://images.gr-assets.com/books/1371167309m/56919.jpg,https://images.gr-assets.com/books/1371167309s/56919.jpg
7913,0395775396,7914,2015,Vanessa Diffenbaugh,We Never Asked for Wings,3.82,https://images.gr-assets.com/books/1432153065m/24041443.jpg,https://images.gr-assets.com/books/1432153065s/24041443.jpg
7914,0743434021,7915,2015,Tamara Ireland Stone,Every Last Word,4.2,https://images.gr-assets.com/books/1431016937m/23341894.jpg,https://images.gr-assets.com/books/1431016937s/23341894.jpg
7915,0440164125,7916,2001,"James Andrew Miller, Tom Shales",Live from New York: An Uncensored History of Saturday Night Live,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7916,0515116297,7917,2003,Simon Winchester,Krakatoa: The Day the World Exploded,3.86,https://images.gr-assets.com/books/1407108467m/25017.jpg,https://images.gr-assets.com/books/1407108467s/25017.jpg
